time_unit,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,acc_mag,mean_ax,std_ax,rms_ax,min_ax,max_ax,range_ax,mean_ay,std_ay,rms_ay,min_ay,max_ay,range_ay,mean_az,std_az,rms_az,min_az,max_az,range_az,mean_acc_mag,std_acc_mag,rms_acc_mag,energy_acc_mag
27570,180,-304,15176,-99,107,-115,15180.1117255441,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27571,164,-364,15164,-117,91,-106,15169.2546949413,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27572,128,-360,15128,-128,63,-112,15132.8241911416,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27573,220,-332,15108,-124,86,-92,15113.248757299,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27574,124,-376,15008,-132,76,-127,15013.2213731764,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27575,244,-328,15144,-126,96,-108,15149.5166919608,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27576,108,-372,15188,-142,90,-110,15192.9388862063,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27577,144,-328,15084,-131,101,-109,15088.2529141051,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27578,116,-384,15124,-115,90,-98,15129.3188214143,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27579,224,-376,15176,-116,92,-90,15182.3097057068,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27580,76,-344,15088,-132,109,-130,15092.1123770001,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27581,120,-304,15104,-115,88,-116,15107.5356031353,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27582,148,-220,15180,-120,115,-112,15182.3155019253,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27583,104,-348,15024,-131,74,-98,15028.3896675592,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27584,164,-332,15044,-129,77,-115,15048.5566085256,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27585,208,-392,15132,-145,73,-106,15138.505606565,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27586,244,-316,15224,-117,94,-113,15229.2339925552,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27587,172,-360,15224,-115,79,-124,15229.2271635825,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27588,196,-364,15140,-125,106,-122,15145.6433339756,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27589,212,-292,15080,-114,113,-125,15084.3166235663,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27590,144,-392,15120,-145,97,-118,15125.7660963007,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27591,152,-400,15160,-141,101,-112,15166.0378477703,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27592,156,-356,15236,-142,76,-107,15240.9569253377,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27593,72,-360,15068,-137,76,-101,15072.4718609789,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27594,124,-376,15156,-135,91,-107,15161.1704033693,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27595,100,-312,15056,-111,68,-134,15059.5644027309,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27596,172,-412,15184,-143,84,-128,15190.5623332384,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27597,176,-408,15112,-140,99,-104,15118.5311455842,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27598,208,-384,14976,-133,58,-101,14982.3661682659,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27599,148,-300,15100,-133,101,-120,15103.7049759322,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27600,208,-420,15064,-124,96,-101,15071.2892613738,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27601,168,-280,15020,-110,79,-101,15023.5489815157,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27602,144,-316,15248,-138,96,-101,15251.9538420492,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27603,144,-408,15068,-120,93,-102,15074.2105597607,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27604,208,-404,15176,-124,84,-108,15182.8013225491,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27605,160,-376,15120,-141,79,-114,15125.5206852525,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27606,168,-284,15140,-116,89,-127,15143.595345888,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27607,132,-308,15244,-135,86,-102,15247.6825780182,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27608,172,-368,15032,-142,104,-89,15037.4875561046,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27609,220,-264,15100,-135,98,-106,15103.9099573587,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27610,108,-304,15108,-124,98,-127,15111.4441401211,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27611,184,-308,15228,-120,94,-107,15232.2258386619,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27612,76,-324,15224,-155,95,-131,15227.6369801752,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27613,112,-392,15132,-123,70,-112,15137.4909413681,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27614,172,-396,15212,-138,70,-97,15218.1255087478,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27615,128,-372,15132,-104,97,-82,15137.1130668962,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27616,112,-300,15156,-143,96,-106,15159.3825731789,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27617,112,-352,15084,-122,89,-111,15088.5222603143,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
